"filename", "language", "C++", "GLSL", "Batch", "Makefile", "JSON", "comment", "blank", "total"
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\AppSettings.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 23
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\compile.bat", "Batch", 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\makefile", "Makefile", 0, 0, 0, 30, 0, 7, 10, 47
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\shaders\simple_shader.frag", "GLSL", 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\shaders\simple_shader.vert", "GLSL", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\ADDONS\cp_color.cpp", "C++", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\ADDONS\cp_color.hpp", "C++", 10, 0, 0, 0, 0, 12, 2, 24
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\ADDONS\json_setup.hpp", "C++", 28, 0, 0, 0, 0, 13, 7, 48
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_device.cpp", "C++", 424, 0, 0, 0, 0, 5, 104, 533
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_device.hpp", "C++", 85, 0, 0, 0, 0, 4, 19, 108
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_pipeline.cpp", "C++", 162, 0, 0, 0, 0, 0, 34, 196
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_pipeline.hpp", "C++", 46, 0, 0, 0, 0, 63, 15, 124
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_swap_chain.cpp", "C++", 344, 0, 0, 0, 0, 13, 74, 431
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_swap_chain.hpp", "C++", 74, 0, 0, 0, 0, 3, 23, 100
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\window_setup.cpp", "C++", 53, 0, 0, 0, 0, 0, 14, 67
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\window_setup.hpp", "C++", 24, 0, 0, 0, 0, 39, 11, 74
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\main.cpp", "C++", 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_game_animations.cpp", "C++", 307, 0, 0, 0, 0, 51, 96, 454
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_game_animations.hpp", "C++", 217, 0, 0, 0, 0, 1, 30, 248
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_game_object.hpp", "C++", 38, 0, 0, 0, 0, 1, 12, 51
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_model.cpp", "C++", 57, 0, 0, 0, 0, 3, 14, 74
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_model.hpp", "C++", 29, 0, 0, 0, 0, 2, 11, 42
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_renderer.cpp", "C++", 133, 0, 0, 0, 0, 2, 42, 177
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_renderer.hpp", "C++", 46, 0, 0, 0, 0, 0, 14, 60
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\simple_render_system.cpp", "C++", 65, 0, 0, 0, 0, 2, 16, 83
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\simple_render_system.hpp", "C++", 26, 0, 0, 0, 0, 0, 10, 36
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\vulkan_simulation.cpp", "C++", 99, 0, 0, 0, 0, 3, 37, 139
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\vulkan_simulation.hpp", "C++", 43, 0, 0, 0, 0, 4, 12, 59
"Total", "-", 2338, 30, 2, 30, 23, 228, 621, 3272
