"filename", "language", "Markdown", "C++", "Makefile", "GLSL", "comment", "blank", "total"
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\README.md", "Markdown", 98, 0, 0, 0, 0, 27, 125
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\makefile", "Makefile", 0, 0, 1, 0, 0, 0, 1
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\shaders\simple_shader.frag", "GLSL", 0, 0, 0, 8, 0, 4, 12
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\shaders\simple_shader.vert", "GLSL", 0, 0, 0, 4, 0, 1, 5
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_pipeline.cpp", "C++", 0, 3, 0, 0, 0, 2, 5
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_pipeline.hpp", "C++", 0, 2, 0, 0, 0, 0, 2
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_game_animations.cpp", "C++", 0, -307, 0, 0, -51, -96, -454
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_game_animations.hpp", "C++", 0, -217, 0, 0, -1, -30, -248
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_game_object.cpp", "C++", 0, 94, 0, 0, 4, 19, 117
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_game_object.hpp", "C++", 0, 8, 0, 0, 1, 3, 12
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_model.cpp", "C++", 0, 4, 0, 0, 0, 2, 6
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_model.hpp", "C++", 0, 1, 0, 0, 0, 0, 1
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\properties\lvs_game_animations.cpp", "C++", 0, 387, 0, 0, 39, 100, 526
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\properties\lvs_game_animations.hpp", "C++", 0, 223, 0, 0, 1, 36, 260
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\simple_render_system.cpp", "C++", 0, 13, 0, 0, 0, 5, 18
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\vulkan_simulation.cpp", "C++", 0, -12, 0, 0, 3, -12, -21
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\vulkan_simulation.hpp", "C++", 0, 7, 0, 0, 0, 2, 9
"Total", "-", 98, 206, 1, 12, -4, 63, 376
