"filename", "language", "Markdown", "C++", "Makefile", "Batch", "GLSL", "JSON", "comment", "blank", "total"
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\AppSettings.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 23
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\README.md", "Markdown", 98, 0, 0, 0, 0, 0, 0, 27, 125
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\compile.bat", "Batch", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\makefile", "Makefile", 0, 0, 31, 0, 0, 0, 7, 10, 48
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\shaders\simple_shader.frag", "GLSL", 0, 0, 0, 0, 24, 0, 0, 7, 31
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\shaders\simple_shader.vert", "GLSL", 0, 0, 0, 0, 18, 0, 0, 5, 23
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\ADDONS\cp_color.cpp", "C++", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\ADDONS\cp_color.hpp", "C++", 0, 10, 0, 0, 0, 0, 12, 2, 24
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\ADDONS\json_setup.hpp", "C++", 0, 28, 0, 0, 0, 0, 13, 7, 48
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_device.cpp", "C++", 0, 424, 0, 0, 0, 0, 5, 104, 533
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_device.hpp", "C++", 0, 85, 0, 0, 0, 0, 4, 19, 108
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_pipeline.cpp", "C++", 0, 165, 0, 0, 0, 0, 0, 36, 201
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_pipeline.hpp", "C++", 0, 48, 0, 0, 0, 0, 63, 15, 126
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_swap_chain.cpp", "C++", 0, 344, 0, 0, 0, 0, 13, 74, 431
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_swap_chain.hpp", "C++", 0, 74, 0, 0, 0, 0, 3, 23, 100
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\window_setup.cpp", "C++", 0, 53, 0, 0, 0, 0, 0, 14, 67
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\window_setup.hpp", "C++", 0, 24, 0, 0, 0, 0, 39, 11, 74
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\main.cpp", "C++", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_game_object.cpp", "C++", 0, 94, 0, 0, 0, 0, 4, 19, 117
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_game_object.hpp", "C++", 0, 46, 0, 0, 0, 0, 2, 15, 63
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_model.cpp", "C++", 0, 61, 0, 0, 0, 0, 3, 16, 80
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_model.hpp", "C++", 0, 30, 0, 0, 0, 0, 2, 11, 43
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_renderer.cpp", "C++", 0, 133, 0, 0, 0, 0, 2, 42, 177
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\lvs_renderer.hpp", "C++", 0, 46, 0, 0, 0, 0, 0, 14, 60
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\properties\lvs_game_animations.cpp", "C++", 0, 387, 0, 0, 0, 0, 39, 100, 526
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\properties\lvs_game_animations.hpp", "C++", 0, 223, 0, 0, 0, 0, 1, 36, 260
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\simple_render_system.cpp", "C++", 0, 78, 0, 0, 0, 0, 2, 21, 101
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\models\simple_render_system.hpp", "C++", 0, 26, 0, 0, 0, 0, 0, 10, 36
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\vulkan_simulation.cpp", "C++", 0, 87, 0, 0, 0, 0, 6, 25, 118
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\vulkan_simulation.hpp", "C++", 0, 50, 0, 0, 0, 0, 4, 14, 68
"Total", "-", 98, 2544, 31, 2, 42, 23, 224, 684, 3648
