"filename", "language", "Batch", "Makefile", "Markdown", "GLSL", "JSON", "C++", "comment", "blank", "total"
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\AppSettings.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 23
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\README.md", "Markdown", 0, 0, 98, 0, 0, 0, 0, 27, 125
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\compile.bat", "Batch", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\makefile", "Makefile", 0, 31, 0, 0, 0, 0, 7, 10, 48
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\shaders\simple_shader.frag", "GLSL", 0, 0, 0, 24, 0, 0, 0, 7, 31
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\shaders\simple_shader.vert", "GLSL", 0, 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\ADDONS\cp_color.cpp", "C++", 0, 0, 0, 0, 0, 10, 0, 2, 12
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\ADDONS\cp_color.hpp", "C++", 0, 0, 0, 0, 0, 10, 12, 2, 24
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\ADDONS\json_setup.hpp", "C++", 0, 0, 0, 0, 0, 28, 13, 7, 48
"c:\Users\nasse\OneDrive\Desktop\ProgrammingFiles\C++ Files\Simulations\Vulkan\SolarSystem_2D\src\core\lvs_device.cpp", "C++", 0, 0, 0, 0, 0, 424, 5, 104, 533
